user_id,disc_usage,cohort,first_trx_is_discounted
SC1101012001002,both,1,True
SC1101012001003,both,1,True
SC1101012002001,both,1,False
SC1101012002002,both,1,False
SC1101012003001,both,1,False
SC1101012003002,both,1,False
SC1101012004001,both,1,False
SC1101012004002,both,1,True
SC1101012015001,both,1,False
SC1101012015002,both,1,True
SC1101012015003,both,1,True
SC1101012016001,both,1,False
SC1101012016002,both,1,False
SC1101012017001,both,1,False
SC1101022001001,both,1,True
SC1101022001002,both,1,True
SC1101022002001,both,1,False
SC1101022002002,both,1,True
SC1101022002003,both,1,False
SC1101022002004,both,1,True
SC1101022004001,both,1,False
SC1101022005001,both,1,False
SC1101022005002,both,1,True
SC1101022005003,both,1,True
SC1101022005004,both,2,False
SC1101022006001,both,1,False
SC1101022006002,both,1,False
SC1101022006003,both,1,False
SC1101022006004,both,1,False
SC1101022007001,both,1,False
SC1101022007002,both,1,True
SC1101022007003,both,1,True
SC1101022007005,both,1,False
SC1101022008001,both,2,True
SC1101022008002,both,1,False
SC1101022008003,both,1,False
SC1101022009001,both,1,False
SC1101022009002,both,1,False
SC1101022009003,both,1,False
SC1101022010001,both,1,False
SC1101022010003,both,1,False
SC1101022011001,both,1,False
SC1101022011002,both,1,True
SC1101022011003,both,1,False
SC1101022011004,both,1,False
SC1101022011005,both,1,False
SC1101022011006,both,1,False
SC1101022012001,both,1,False
SC1101022012002,both,1,False
SC1101022012003,both,1,False
SC1101022013001,both,1,False
SC1101022013002,both,1,False
SC1101022013003,both,1,True
SC1101022014001,both,1,False
SC1101022015001,both,1,False
SC1101022015002,both,1,False
SC1101022015003,both,1,False
SC1101022016001,both,1,False
SC1101022017001,both,1,True
SC1101022018001,both,10,False
SC1101022018002,both,1,False
SC1101022018003,both,1,False
SC1101022018004,both,1,False
SC1101022020001,both,1,False
SC1101022020002,both,2,False
SC1101022020003,both,1,False
SC1101022020004,both,1,False
SC1101022020006,both,1,False
SC1101022020007,both,1,False
SC1101022020008,both,1,True
SC1101032001001,both,1,False
SC1101032001002,both,1,False
SC1101032001003,both,1,False
SC1101032001004,both,1,True
SC1101032002001,both,1,True
SC1101032002002,both,1,False
